coord_x,coord_y,categoria
225.7345759866634,325.6671850981378,a
231.22777543666456,400.40258177808056,a
258.26786790578166,346.31422006530556,a
261.70872318509424,345.80766600905974,a
239.40318163231325,363.58351743294105,a
221.82211246570148,308.0203598875835,a
235.43228688954684,362.047217736732,a
247.50634435162874,369.0759605886317,a
233.8221714959069,382.16634622993155,a
268.7770073507412,327.7949203913345,a
257.43617656467035,411.2474687805287,a
291.43531881750835,402.9805075025738,a
328.21861167900596,429.771216042009,a
338.40476379392305,433.6809567148591,a
295.64503004763753,400.4935690438374,a
369.91796884144264,330.04443474540534,a
416.6672940557833,372.77950294477154,a
358.32544739873117,384.8308998269175,a
374.3809624127558,394.5088547293454,a
394.60865919972895,323.6442809061432,a
406.29691649583333,343.4241802279626,a
412.72839352204124,371.55908564270976,a
382.43340813021996,319.00627257622534,a
378.1609532021965,326.2781166176947,a
438.82570743311805,316.9490737831501,a
435.9505369174213,300.0362659977259,a
436.4395367317821,289.2685651871012,a
419.3555951678476,273.0433415018282,a
449.5083609649635,282.29411604055065,a
444.3780164869261,218.90563624015124,a
513.3118670382961,217.37789604639943,a
438.63208732563584,208.5385078758124,a
519.1172287588338,258.45728139058417,a
556.0280959959554,209.09410037027482,a
554.9028697027508,183.30608744539188,a
569.3726474380333,223.20027364354195,a
533.1817220953836,190.0216407890411,a
513.4585218244263,178.78624172213608,a
543.847122661652,185.04553003058368,a
564.8943515360336,186.8892992501008,a
561.6037323893173,142.51158672316097,a
535.629064055764,173.13767366963305,a
483.70781946395937,152.78187059914916,a
515.6776017449051,121.08319089606658,a
505.5684442126532,111.47370887900195,a
446.0147894746613,112.16939927117511,a
459.4521898738129,131.70209486240668,a
420.7867976005973,60.476170783683926,a
389.28515587149167,136.52318740246335,a
306.3149788542356,62.472142491058435,a
246.50011693237735,56.31750332989583,a
234.56691196671918,90.24611470730764,a
237.48498442336552,73.29786533671574,a
198.58465887020589,87.02262810271861,a
172.35185313235462,117.05733775615494,a
126.3392685271149,148.42917846480532,a
160.08069607386926,164.67320618045522,a
168.35727681123535,142.20719546262717,a
208.41823649416438,143.55885310661012,a
171.99692974266804,186.32181308491124,a
149.9908433194818,189.55733896860136,a
135.19812806466257,249.69928948870657,a
162.15534813639158,218.16508141883094,a
147.56463819267086,216.69772926894257,a
109.32073747696468,250.50754779380298,a
180.23021237151994,271.9356011082868,a
99.0949657109735,261.4677605681756,a
143.09741605039636,252.88861716748818,a
162.46480822209483,314.5672758099894,a
147.78093600567794,326.4275603009558,a
246.40525200834466,376.47961763446585,a
229.2112773072468,313.9294036112107,a
218.7327656134816,384.4831845133847,a
262.77956495972165,344.9738889668331,a
239.14749374956838,332.15137543465926,a
285.12711253925823,311.8947496035848,a
267.6653638935102,344.2855758689431,a
285.31543759900717,338.3976963128682,a
204.34789508958488,318.73547566376936,a
240.78015975460548,356.54781407391897,a
274.52179866664454,355.3267467681387,a
234.46497137749856,339.5796303345461,a
209.08578847761694,360.97631094592566,a
290.28347210775866,331.1255929395282,a
579.558193438172,402.0332991140461,a
640.6254899448817,443.79221082781226,a
665.4143218751625,394.75895117979024,a
641.4354638652641,384.5886617090415,a
587.859907779436,400.22151430382104,a
680.6662541056081,365.0404151563431,a
643.7088286085824,348.79987882055354,a
621.789345994362,331.2530800009027,a
605.103357914529,399.3617226327523,a
641.7665929328119,322.8645686067612,a
653.3968974925758,276.7866260128744,a
641.2428962435112,335.69532673384083,a
640.2169135595833,319.79372663535423,a
637.5770121054135,308.2608735180862,a
645.1255315419321,307.6428073161559,a
682.6879815859236,324.16234054449995,a
649.5879447825821,323.6878198909968,a
681.6635850791869,320.93665681974016,a
664.6939773808953,300.38115318390294,a
618.1703587522966,334.0872672394599,a
665.1709934170195,310.8804948957113,a
662.6388629197123,398.40375513582,a
668.2160579942821,341.0124605186825,a
664.880063074796,366.073563923285,a
645.110954232044,374.692078080295,a
707.4698759866734,373.4863652123052,a
688.3602722389128,386.17063051781804,a
685.0019540436863,406.73269592411026,a
635.2871925260546,443.1899655199125,a
720.6180376211838,428.4367950238542,a
675.2745667323773,429.0679963755157,a
629.4751972088083,402.8104324282864,a
646.7159139269163,367.92655608522676,a
623.3454131343124,467.94956311876297,a
634.8800533611922,427.16876579384734,a
635.1628790461912,360.87409760571643,a
597.3249269360421,390.61425682292645,a
616.9828525878887,430.2217053567931,a
599.4036318177034,364.5908837480644,a
604.1888654587424,407.3708507671701,a
632.915459528368,436.1863265184336,a
567.5376473977681,409.0984375183779,a
597.7348418912525,373.66998111967087,a
569.5468308936861,405.6513374472392,a
617.6795405387963,465.0988858830645,a
632.739459740531,439.08162607826904,a
602.885447097753,440.58933677378997,a
422.1091828368135,480.40820176674083,a
390.5134839561553,433.6168013082014,a
446.36749383923103,431.6409041532299,a
433.8610896837997,437.7172395832572,a
458.32996279542596,358.5550294915677,a
482.2481978300045,392.13815799231605,a
509.31126194575853,410.33111683309266,a
477.87250369615003,425.3142770036852,a
515.2504631631865,361.3831976027567,a
498.8846178491118,357.7198633707794,a
520.3855975496749,343.8864970138247,a
503.4338333593922,318.4177331970724,a
514.9474925673521,370.0720389844064,a
509.3870581246967,364.7328764992669,a
505.59476523524256,313.2772193468501,a
487.54663372423124,370.9446822283066,a
